"altura","genero","contextura_madre","altura_madre"
161,"F","alta",164.2
163.8,"F","mediana",158.3
158.4,"F","alta",163.7
173.3,"M","mediana",156.6
161,"F","bajita",151.9
171.7,"M","mediana",157.4
173.3,"M","mediana",158.6
169.3,"M","mediana",161.7
176.7,"M","mediana",159.8
173.8,"M","alta",165.3
162.7,"F","alta",163.4
162.2,"F","mediana",162
161.2,"F","bajita",154.3
171.4,"M","mediana",159.2
170.6,"M","mediana",160.9
159.1,"F","alta",162.1
174,"M","alta",162.6
168.9,"M","mediana",158.9
171.2,"M","mediana",159.4
170.8,"M","mediana",160.3
167.7,"M","mediana",158.1
156.8,"F","mediana",159.3
173.8,"M","alta",163.6
170.9,"M","mediana",158.6
160.2,"F","mediana",160.8
172.6,"M","mediana",158.6
164.1,"F","mediana",158.3
162.5,"F","mediana",159.5
162,"F","mediana",159.4
165.7,"M","mediana",158.4
161.6,"F","mediana",160.7
172.4,"M","mediana",161.3
160.8,"F","mediana",158.2
157.5,"F","bajita",154.1
162.6,"F","alta",164.1
162.6,"F","alta",163.8
159.4,"F","alta",163.3
160.7,"F","bajita",155.9
158,"F","mediana",161.4
154.3,"F","mediana",158.9
174.2,"M","mediana",161.5
160.3,"F","mediana",160.3
179.5,"M","alta",162.6
176.1,"M","alta",162.7
158.9,"F","mediana",158.2
173.5,"M","mediana",162
159.9,"F","mediana",159
173.1,"M","mediana",159.5
161.2,"F","mediana",158.1
172.5,"M","bajita",155.5
156.4,"F","bajita",155.7
168.1,"M","mediana",157
160.6,"F","mediana",160.8
159.7,"F","mediana",159
173.2,"M","alta",164.7
174.5,"M","bajita",154.9
160.8,"F","alta",163.9
162.2,"F","mediana",159.5
161.4,"F","mediana",158.6
159.8,"F","mediana",157.9
162.7,"F","mediana",156.3
161,"F","mediana",157.2
174.8,"M","mediana",159.3
176.4,"M","alta",162.3
155.2,"F","bajita",155
160.3,"F","alta",162.7
158.3,"F","mediana",161.2
159,"F","mediana",157.7
160.7,"F","alta",163.1
167.4,"M","mediana",161
174.2,"M","mediana",162
175.1,"M","mediana",160.7
171.7,"M","mediana",160.1
172.8,"M","mediana",157.9
168.5,"F","mediana",161.8
161.4,"F","mediana",159.1
161.3,"F","alta",165
160.1,"F","mediana",158.1
174.4,"M","mediana",156.2
153.9,"F","bajita",154.5
173.2,"M","bajita",154.1
175.4,"M","alta",165.2
157.5,"F","bajita",154.9
169.4,"M","mediana",156.6
160.8,"F","mediana",157
171.5,"M","mediana",156.1
160.2,"F","alta",163.2
161.4,"F","alta",162.6
167.4,"M","mediana",159.1
161.4,"F","mediana",160.3
